Tanggal,Temperatur rata-rata (°C)
1/1/2019,26.0
1/2/2019,28.3
1/3/2019,28.3
1/4/2019,29.3
1/5/2019,28.9
1/6/2019,29.4
1/7/2019,29.7
1/8/2019,28.2
1/9/2019,28.9
1/10/2019,27.7
1/11/2019,29.0
1/12/2019,28.6
1/13/2019,28.1
1/14/2019,27.4
1/15/2019,28.5
1/16/2019,27.9
1/17/2019,28.3
1/18/2019,28.0
1/19/2019,27.5
1/20/2019,28.3
1/21/2019,27.6
1/22/2019,26.1
1/23/2019,27.5
1/24/2019,27.5
1/25/2019,26.3
1/26/2019,27.9
1/27/2019,27.4
1/28/2019,28.1
1/29/2019,27.8
1/30/2019,27.3
1/31/2019,26.8
2/1/2019,27.0
2/2/2019,27.9
2/3/2019,28.0
2/4/2019,28.5
2/5/2019,28.5
2/6/2019,27.4
2/7/2019,29.2
2/8/2019,28.4
2/9/2019,28.8
2/10/2019,27.9
2/11/2019,26.8
2/12/2019,27.8
2/13/2019,28.4
2/14/2019,28.7
2/15/2019,28.2
2/16/2019,27.6
2/17/2019,27.5
2/18/2019,29.0
2/19/2019,29.3
2/20/2019,28.1
2/21/2019,27.6
2/22/2019,27.8
2/23/2019,27.8
2/24/2019,28.4
2/25/2019,29.2
2/26/2019,29.7
2/27/2019,29.1
2/28/2019,29.1
3/1/2019,28.3
3/2/2019,28.5
3/3/2019,27.1
3/4/2019,28.0
3/5/2019,27.5
3/6/2019,25.7
3/7/2019,27.2
3/8/2019,28.6
3/9/2019,27.5
3/10/2019,28.4
3/11/2019,28.1
3/12/2019,27.1
3/13/2019,28.0
3/14/2019,27.9
3/15/2019,28.7
3/16/2019,28.6
3/17/2019,27.8
3/18/2019,28.0
3/19/2019,27.7
3/20/2019,28.3
3/21/2019,28.4
3/22/2019,29.2
3/23/2019,29.2
3/24/2019,29.1
3/25/2019,27.7
3/26/2019,28.8
3/27/2019,28.2
3/28/2019,29.4
3/29/2019,28.7
3/30/2019,28.7
3/31/2019,28.5
4/1/2019,28.3
4/2/2019,27.7
4/3/2019,28.1
4/4/2019,29.4
4/5/2019,28.5
4/6/2019,28.5
4/7/2019,28.0
4/8/2019,29.1
4/9/2019,28.6
4/10/2019,29.5
4/11/2019,30.4
4/12/2019,29.5
4/13/2019,29.8
4/14/2019,29.6
4/15/2019,28.8
4/16/2019,28.3
4/17/2019,28.9
4/18/2019,30.7
4/19/2019,27.9
4/20/2019,27.8
4/21/2019,29.4
4/22/2019,30.1
4/23/2019,30.3
4/24/2019,28.0
4/25/2019,29.3
4/26/2019,28.3
4/27/2019,27.9
4/28/2019,28.5
4/29/2019,28.9
4/30/2019,28.2
5/1/2019,28.6
5/2/2019,29.6
5/3/2019,29.2
5/4/2019,29.5
5/5/2019,29.1
5/6/2019,29.0
5/7/2019,29.4
5/8/2019,29.0
5/9/2019,28.8
5/10/2019,28.4
5/11/2019,29.4
5/12/2019,29.9
5/13/2019,30.0
5/14/2019,30.3
5/15/2019,30.4
5/16/2019,29.1
5/17/2019,28.7
5/18/2019,29.1
5/19/2019,29.6
5/20/2019,30.3
5/21/2019,30.3
5/22/2019,29.8
5/23/2019,30.5
5/24/2019,30.2
5/25/2019,29.6
5/26/2019,29.8
5/27/2019,30.6
5/28/2019,30.3
5/29/2019,30.1
5/30/2019,29.5
5/31/2019,30.6
6/1/2019,29.4
6/2/2019,29.5
6/3/2019,28.6
6/4/2019,29.6
6/5/2019,29.5
6/6/2019,30.0
6/7/2019,29.3
6/8/2019,29.1
6/9/2019,29.1
6/10/2019,29.1
6/11/2019,29.7
6/12/2019,29.7
6/13/2019,29.8
6/14/2019,28.6
6/15/2019,29.2
6/16/2019,29.5
6/17/2019,29.3
6/18/2019,28.8
6/19/2019,29.5
6/20/2019,29.6
6/21/2019,28.6
6/22/2019,28.5
6/23/2019,28.9
6/24/2019,29.2
6/25/2019,29.1
